id,lucsum,soilsum,vegsum,ADMIN,ADM0_A3,NAME,NAME_LONG,BRK_NAME,cstock,tot_H,tot_S
rice,1.000000014901161,64.13032817840576,2.761014550924301,Lesotho,LSO,Lesotho,Lesotho,Lesotho,1.6,63043.186490090906,98314.8664626251
rice,92633.79948054254,8298267.096975327,1978228.941393852,Cameroon,CMR,Cameroon,Cameroon,Cameroon,1.6,154552.65155917726,203822.43136881464
rice,530.3000103011727,64331.34958839417,102981.5031337738,Gabon,GAB,Gabon,Gabon,Gabon,1.6,817382.8904382978,884104.0701220813
rice,3467.899993151426,153896.6038226243,9202.618204530037,Niger,NER,Niger,Niger,Niger,1.6,44542.75130941349,68950.35598936409
rice,85251.29993414134,8950159.272750616,1768872.254472345,Burkina Faso,BFA,Burkina Faso,Burkina Faso,Burkina Faso,1.6,166449.50459525944,224191.58716544497
rice,28525.49994897842,3202031.899459839,2300704.720901489,Togo,TGO,Togo,Togo,Togo,1.6,392763.0940088353,454501.45259511424
rice,86256.99957603961,9655184.193724632,7333785.718853474,Ghana,GHA,Ghana,Ghana,Ghana,1.6,408489.6559782316,470053.9502691224
rice,25882.20003890991,3363449.429176331,513436.3441181183,Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,1.6,185993.4494638327,257467.1720711051
rice,324006.1026248932,109633.9698762372,5082.591477396432,Egypt,EGY,Egypt,Egypt,Egypt,1.6,-5498.976140145132,-5312.8725978246985
rice,10687.19977877289,64101.37085738778,4501.051877645776,Mauritania,MRT,Mauritania,Mauritania,Mauritania,1.6,1175.7250164004236,4474.601682071903
rice,NA,NA,NA,Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Eq. Guinea,1.6,360857.7151520985,418790.57182541944
rice,53364.79985046387,4825975.91796875,247900.3326416016,Gambia,GMB,Gambia,The Gambia,Gambia,1.6,94063.98348912521,143802.51454930948
rice,NA,NA,NA,Bir Tawil,BRT,Bir Tawil,Bir Tawil,Bir Tawil,1.6,360857.7151520985,418790.57182541944
